Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"Apartment 4, 3 Main Street, Clongriffin, Dublin 13, Baldoyle, Dublin 13",Ä700 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year,1,Yes,Male / Female,"DescriptionSTANDARD DOUBLE ROOM  WILL BE COMING AVAILABLE FROM NOW

THIS COMES WITH OWN SEPERATE BATHROOM 

THIS IS A BRIGHT,CLEAN AND MODERN OPEN PLAN APARTMENT

THIS 2ND FLOOR APARTMENT IS ON THE CORNER OF MAIN STREET ABOVE SMART PROPERTY LETTINGS SO THE 15 BUS STOP IS LITERALLY ON YOUR DOOR STEP AND LEAVES EVERY 10 MINS

THE DART STATION IS 2 MINS WALK AND IS ONLY 22 MINS INTO CITY CENTRE

YOU WILL BE SAHRING THIS APARTMENT WITH 1 OTHER PERSON 

THE RENT IS NOT ENCLUDING BILLS WHICH IS SPLIT EVENLY TOGETHER. ELECTRICITY,TV AND BROADBAND 
APPROX 85 EURO PM PER PERSON

THIS IS A QUIET BLOCK WITH LONG TERM OWNER NEIGHBOURS 

STRICTLY NO PARTIES PERMITTED 


ON YOUR DOORSTEP ARE THE FOLLOWING

FATHER COLLINS PARK WITH RUNNING TRACK ETC
PHARMACY
OFF LICENSE
ROMAYOS TAKEAWAY
RAVELLOS ITALIAN RESTAURANT
CENTRA SUPERMARKET
BODY TRANSFORMATION GYM

PLEASE ONLY APPY IF YOU CAN PROVIDE REFERENCES",14/04/2023,"1,998"
"3 Waterville, Lough Road, The Lough, Co. Cork",Ä450 per month,Double Room,Shared Bathroom,House,1,"May 1st, 2023",1 Year +,4,No,Male / Female,"Description3 Waterville is located just beside The Lough and a short 10 - 15 min walk to Cork city down Barracks Street.

The Lough on your doorstep is amazing and really nice for walks all year round and if you like Ducks you are very much in luck!


The house currently has 4 working professionals in their 30s living there. The property is a quiet and relaxed one.

Those that are interested could you please provide a description of yourself on the application so that we can get to know you a bit beforehand.

Looking forward to hearing from you.",12/04/2023,"1,001"
"Mount Oval Management Office, Granary Hall, Mount , Douglas, Co. Cork",Ä700 per month,Single Room,Shared Bathroom,Apartment,1,Immediately,1 Year,1,No,Male / Female,"DescriptionI am a professional Irish male currently moving into a new apartment in Rochestown Cork.
It is in a beautiful area and has great surrounding amenities.

The apartment is new, clean and comfortable.The room has a single bed but could fit a double if needed.
I work away for parts of the week and live a busy lifestyle.

Plus bills",13/04/2023,"1,842"
"Belgrove Park , Clontarf, Dublin 3","Ä1,150 per month",Double Room,Shared Bathroom,House,1,"Apr 21st, 2023",1 Year,2,Yes,Male / Female,"DescriptionSpacious and cosy double room to rent in Clontarf, Dublin.
Looking for single tenant only. 
The spacious double room is fully furnished with a double bed and comes with all the necessary amenities, room for a desk with a bathroom next door. The kitchen is fully equipped with oven/microwave/air fryer etc, we have all cutlery needed too. 
The house is just a stone's throw away from everything you need. You'll be close to DART, Park, Bus, Supermarkets, St Anne's Park and the beautiful seafront. 

You'll be sharing with a friendly couple and their small dog.  

Rent is paid monthly; bills are not included (internet, gas, electricity). 
First months rent & deposit is required upfront. 

If you are interested please send us an email describing yourself and any questions you might have. 
We will arrange viewings from this point!",10/04/2023,353
"87 Shrewsbury, Dublin 4, Dublin 4",Ä840 per month,Double Room,Shared Bathroom,Apartment,1,"Jun 5th, 2023",1 Year,1,No,Male / Female,"DescriptionThis is a house share with a double room available. The rent is 840 plus additional bills. You would be sharing with a female in her mid 30s. If interested please send me an email with some of the following info.. 

A bit about you generally, profession, work schedule/times, hobbies/ interests. Please let me know if you will need to work from home from time to time and if so how often and whether you like to stay in Dublin at the weekends.

I look forward to hearing from you.",09/04/2023,"1,731"
"37 Orpen Green, Blackrock, Stillorgan, Co. Dublin",Ä750 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,2,No,Male / Female,"DescriptionSingle room available in Stillorgan for immediate move in (desk is not included). 

Bathrooms: 2 shared 

Deposit: 750 Rent: 750 + bills 

The house is located in a quiet neighbourhood 15 minutes walk from Stillorgan Village with Tesco, Lidl, FlyeFit gym plus many other shops, restaurants and cafes. 

Blackrock is also a 20 minute walking distance with Aldi, Supervalu and Blackrock DART station. 

Area is serviced by bus routes 46a, 155, 145, 7B, 7D, 84X and 46E. 

The house is currently occupied by two male working professionals in their late 20s. 

The ideal housemate will be someone who is neat, tidy and easy going. House also has parking facilities. 

Please send an email with some information about yourself/any queries you have and a viewing can be organised. 

Thank you.",11/04/2023,"1,797"
"Manor Court, Knocknacarra, Co. Galway",Ä650 per month,Double Room,En-suite,Apartment,1,Immediately,1 Year +,2,Yes,Male / Female,"Description*Hi Folks, this is still available I just haven't had a chance to process the enquires yet. Will start replying around the 8th of April, viewings on the 16th-17th April (Sunday). Thanks! :) *

Hey guys,

beautiful and cozy en-suite large double room with lots of storage coming free in April. In a quiet house sharing with a professional couple in their mid 30s and our adorable kitten Keeba! 

Your room is quiet and peaceful, blackout blinds, no neighbour beside you, quiet solo old neighbour in the house below. Siesta city! Also have a smart TV connected to netflix and amazon prime, same in the sitting room and we also have one in our room so you'll often have the sitting room to yourself. 

We can read the room and understand that sometimes you might want a chat, sometimes a glass of wine, or sometimes just leave you be to cook or exist in peace, and we totally get that and are the same. We don't hog the sitting room, we aren't super annoying clingy couple and we are very much two individual people so I can honestly say, it's a good dynamic.

House life - noise and bad sleeps, the worst so we tend not to make noise after 11pm or before 7.30am Monday - Fri so someone on similar shift patterns who values their sleep and downtime might prefer this.

We don't throw parties or invite randoms back, we still go out for a few but we just don't bring home the craic with us. That time for us is over, we want a nice predictable comfortable place so just mentioning that for people who want this style of home!

There is free parking and free bins, clothes line in a communal garden area. Shed for our bikes and camping bits or whatever. Sun hits it in the summer, its nice and relatively private. Also have a third room in the house that I pay for extra, I wont rent it but use it for clothes horses/extra storage so feel free to put some stuff in there or dry clothes in there etc.

Bills -
Wifi superfast sky fibre is 10 euro p/m
Parking/bins free
Netflix/Amazon prime free
Electricity - every 2 months, could be 80, could be 100, you know yourselves :D

Nothing else really, there is a new bar and shop being built right around the corner, there is a bus service but honestly its a bit crap so would recommend drivers. Barna woods is 5 minutes away due to side access. Oh and obviously if you have cat allergies, it's probably not a good idea!",03/04/2023,"1,678"
"131A Galtymore Road, Drimnagh, Dublin 12","Ä1,100 per month",Double Room,Shared Bathroom,Apartment,3,Immediately,1 Year +,3,No,Male / Female,"Description~ Shared Accommodation in 4 bedroomed Apartment
~ Newly Refurbished
~ Hot Water on Demand
~ All Bills included /gas/electricity/wifi/refuse
~ High Spec fully modernised property in Central location


Bedrooms are fitted with new hotel standard Double bed , chair ,laundry basket, large mirror, Desk, shelving and bespoke fitted storage. There are wall to wall windows fitted with blackout blinds and a soft comfort headboard.

*Location*
Located on the Galtymore Rd only a 3 min walk to the Luas line and bus stop 1453 is directly opposite the accommodation entrance. The property is a 10 min bus ride to the city centre.
There is a great community spirit in this neighbourhood and you have a variety of shops on your doorstep.

*Bathroom /Kitchen*
This is a shared accommodation , not owner occupied , lockable storage provided in the kitchen
Electric power shower in the bathroom
All new appliances
dishwasher/tumble dryer/washing machine

*Enquiries*
Enquiries welcome by email, please include a brief self description, include a phone number and viewings will take place at the weekends. Rooms are available to 1 person only
No short term rentals 6 months or above only",13/04/2023,"1,824"
"Rochestown Ave, Glenageary, Co. Dublin",Ä900 per month,Double Room,Shared Bathroom,House,1,"May 29th, 2023",1 Year +,2,Yes,Female,"DescriptionRent a room 
A2 Rated house

Large double room with wardrobe, 2 x lockers, mirror and headboard.  Connections for TV on wall.
Bathroom share with one other adult.

900.00 euro per month Mon-Fri
1225.00 euro per month including weekends

On bus routes to Dublin city centre.
8 minute walk to National Rehabilitation hospital.
5 Min walk to supermarket
5 min walk to Sallynoggin college
15min-20 walk to IADT",10/04/2023,864
"Inis Eoghin, Mayfield, Co. Cork",Ä140 per week,Single Room,Shared Bathroom,House,1,"May 14th, 2023",6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 8865B",21/03/2023,"1,152"
"Broadford, Ballinteer, Dublin 16",Ä730 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,2,No,Male / Female,"DescriptionVery spacious house recently refurbished to a very high standard, close to Marley Park and several gyms, 5 minutes walk to Supervalu, Lidl, Pubs and Restaurants, Nutgrove Shopping Centre is a 10 minute walk away, close to M50, and Dundrum Town Centre. Local bus routes are across the road.",11/04/2023,"1,003"
"Ballingowan, Blackwater, Co. Wexford",Ä130 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 37299",21/03/2023,229
